Service Request Number,Unnamed: 1,Service Request: Type Name,Work Order Number,Date/Time Opened,Date/Time Closed,Service Request Status,Service Request: Description,Department,Work Order Status,Street Block,Zip Code,Unnamed: 12
SR20-05165467,,No Heat Complaint,20-03263140,9/28/2020 8:44 PM,10/6/2020 1:51 PM,Completed,THE CALLER STATED THAT THEY DO NOT KNOW WHO THEY OWNER IS OF THE BUILDING,DOB - Buildings,Closed,1200 N LOCKWOOD AVE,60651.0,
SR20-05165510,,No Heat Complaint,20-03263154,9/28/2020 8:58 PM,10/6/2020 1:51 PM,Completed,THIS IS A SENIOR BUILDING,DOB - Buildings,Closed,1300 N CLEVELAND AVE,60610.0,
SR20-05166091,,No Heat Complaint,20-03263344,9/29/2020 4:08 AM,10/8/2020 4:27 PM,Completed,Caller does not have owner's phone# or address.  / Caller did not want to give his name.,DOB - Buildings,Closed,7800 S CHAMPLAIN AVE,60619.0,
SR20-05166590,,No Heat Complaint,20-03263650,9/29/2020 7:36 AM,10/1/2020 10:55 AM,Completed,,DOB - Buildings,Closed,4000 N MARMORA AVE,60634.0,
SR20-05166659,,No Heat Complaint,20-03263690,9/29/2020 7:47 AM,10/1/2020 10:29 AM,Completed,,DOB - Buildings,Closed,1600 W FARWELL AVE,60626.0,
SR20-05166924,,No Heat Complaint,20-03263893,9/29/2020 8:25 AM,10/2/2020 9:54 AM,Completed,,DOB - Buildings,Closed,600 W CORNELIA AVE,60657.0,
SR20-05167050,,No Heat Complaint,20-03263983,9/29/2020 8:42 AM,10/6/2020 11:35 AM,Completed,,DOB - Buildings,Closed,300 E ONTARIO ST,60611.0,
SR20-05167076,,No Heat Complaint,,9/29/2020 8:44 AM,10/6/2020 11:35 AM,Completed,,DOB - Buildings,,,60611.0,
SR20-05167169,,No Heat Complaint,,9/29/2020 8:54 AM,10/6/2020 11:35 AM,Completed,,DOB - Buildings,,,60611.0,
SR20-05167223,,No Heat Complaint,20-03264126,9/29/2020 8:58 AM,10/8/2020 9:43 AM,Completed,,DOB - Buildings,Closed,5400 W DIVISION ST,60651.0,
SR20-05167435,,No Heat Complaint,20-03264278,9/29/2020 9:21 AM,10/13/2020 10:43 AM,Completed,LANDLORD REFUSES  TO TURN ON THE HEAT----CALL BEFORE COMING OUT,DOB - Buildings,Closed,7600 S INGLESIDE AVE,60619.0,
SR20-05168233,,No Heat Complaint,,9/29/2020 10:31 AM,9/30/2020 1:40 PM,Completed,,DOB - Buildings,,,60617.0,
SR20-05168347,,No Heat Complaint,20-03264918,9/29/2020 10:43 AM,10/6/2020 11:36 AM,Completed,THERE ARE  72 UNITS   WITH NO HEAT---IN SENIOR CITIZENS BUILDING,DOB - Buildings,Closed,2800 W BYRON ST,60618.0,
SR20-05168879,,No Heat Complaint,20-03265276,9/29/2020 11:33 AM,10/6/2020 12:12 PM,Completed,"The temperature has been consistently lower than 66 during night time, and 68 during day time. I have reached out to building management, they brought an object thermometer to detect room temperature. No response from them.",DOB - Buildings,Closed,2800 S DR MARTIN LUTHER KING JR DR,60616.0,
SR20-05168947,,No Heat Complaint,20-03265317,9/29/2020 11:41 AM,10/1/2020 10:29 AM,Completed,The board of landlords of the building decide when to put the heat on.,DOB - Buildings,Closed,6100 N DAMEN AVE,60659.0,
SR20-05169003,,No Heat Complaint,20-03265353,9/29/2020 11:47 AM,10/13/2020 10:28 AM,Completed,Have photo to prove no thermostat and radiators are all falling apart,DOB - Buildings,Closed,200 E 121ST PL,60628.0,
SR20-05169094,,No Heat Complaint,20-03265414,9/29/2020 11:55 AM,10/5/2020 9:38 PM,Completed,THERE ARE 342 APTS  WITH NO HEAT,DOB - Buildings,Closed,100 W MAPLE ST,60610.0,
SR20-05169326,,No Heat Complaint,20-03265573,9/29/2020 12:16 PM,10/6/2020 5:13 PM,Completed,,DOB - Buildings,Closed,600 E 84TH ST,60619.0,
SR20-05170321,,No Heat Complaint,,9/29/2020 1:30 PM,10/1/2020 10:29 AM,Completed,,DOB - Buildings,,,60626.0,
SR20-05170604,,No Heat Complaint,20-03266530,9/29/2020 1:52 PM,10/6/2020 1:26 PM,Completed,,DOB - Buildings,Closed,7600 S COLFAX AVE,60649.0,
SR20-05170962,,No Heat Complaint,20-03266787,9/29/2020 2:23 PM,10/2/2020 10:12 AM,Completed,,DOB - Buildings,Closed,500 W HAWTHORNE PL,60657.0,
SR20-05171314,,No Heat Complaint,20-03267023,9/29/2020 2:56 PM,10/1/2020 10:55 AM,Completed,STILL NO HEAT SINCE 9-15-20-----LANDLORD REFUSES TO TURN ON---26 UNITS WITH NO HEAT,DOB - Buildings,Closed,7100 N WASHTENAW AVE,60645.0,
SR20-05172719,,No Heat Complaint,20-03267719,9/29/2020 5:49 PM,10/5/2020 9:38 PM,Completed,Not all the info fits in the boxes.I gave you contact info for the board president of our condo assoc. the building manager is Natalie Drapac at 312-664-8989 900mngr@900910.com,DOB - Buildings,Closed,900 N LAKE SHORE DR,60611.0,
SR20-05172773,,No Heat Complaint,20-03267735,9/29/2020 5:58 PM,10/2/2020 12:22 PM,Completed,,DOB - Buildings,Closed,800 W CORNELIA AVE,60657.0,
SR20-05173044,,No Heat Complaint,,9/29/2020 6:53 PM,10/6/2020 11:35 AM,Completed,,DOB - Buildings,,,60611.0,
SR20-05173059,,No Heat Complaint,,9/29/2020 6:58 PM,10/6/2020 1:51 PM,Completed,,DOB - Buildings,,,60610.0,
SR20-05174678,,No Heat Complaint,20-03268541,9/30/2020 8:12 AM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,5000 N SPRINGFIELD AVE,60625.0,
SR20-05174709,,No Heat Complaint,20-03268565,9/30/2020 8:15 AM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,5300 W PENSACOLA AVE,60641.0,
SR20-05174808,,No Heat Complaint,20-03268616,9/30/2020 8:28 AM,10/5/2020 12:37 PM,Completed,,DOB - Buildings,Closed,2000 W SCHILLER ST,60622.0,
SR20-05175020,,No Heat Complaint,20-03268753,9/30/2020 8:51 AM,10/1/2020 2:06 PM,Completed,,DOB - Buildings,Closed,7100 S RIDGELAND AVE,60649.0,
SR20-05175135,,No Heat Complaint,20-03268819,9/30/2020 9:01 AM,10/5/2020 1:24 PM,Completed,,DOB - Buildings,Closed,5100 W WABANSIA AVE,60639.0,
SR20-05175234,,No Heat Complaint,20-03268861,9/30/2020 9:11 AM,10/6/2020 2:00 PM,Completed,Previous request closed no entry- Caller must be notified prior to coming out for entry.  PLEASE CONTACT CALLER PRIOR TO COMING OUT FOR ENTRY,DOB - Buildings,Closed,6400 S DR MARTIN LUTHER KING JR DR,60637.0,
SR20-05175587,,No Heat Complaint,,9/30/2020 9:44 AM,10/1/2020 10:29 AM,Completed,"The management and the owner know since 09/29, no answers nor actions so far.",DOB - Buildings,,,60659.0,
SR20-05175747,,No Heat Complaint,20-03269195,9/30/2020 9:54 AM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,4800 N CENTRAL AVE,60630.0,
SR20-05175960,,No Heat Complaint,20-03269335,9/30/2020 10:14 AM,10/5/2020 11:41 AM,Completed,"He gets mad ever time,I'm afraid he will kick me out.
I have a section 8 I'll be 65 and my joints are bad there is a new baby on 2fl",DOB - Buildings,Closed,1600 E 85TH PL,60617.0,
SR20-05176264,,No Heat Complaint,20-03269553,9/30/2020 10:36 AM,10/5/2020 9:39 PM,Completed,The building engineer was up in our unit today to say that there is nothing he can do for us.  The people on the South side of the building are warm and want the air and we are cold.  They have windows and can buy or have shades.,DOB - Buildings,Closed,0 W ONTARIO ST,60654.0,
SR20-05176564,,No Heat Complaint,20-03269801,9/30/2020 10:50 AM,10/5/2020 9:43 AM,Completed,,DOB - Buildings,Closed,10600 S HALE AVE,60643.0,
SR20-05178670,,No Heat Complaint,20-03271219,9/30/2020 2:28 PM,10/6/2020 2:00 PM,Completed,,DOB - Buildings,Closed,2900 S MICHIGAN AVE,60616.0,
SR20-05178943,,No Heat Complaint,20-03271426,9/30/2020 2:55 PM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,3700 W LELAND AVE,60625.0,
SR20-05179564,,No Heat Complaint,20-03271842,9/30/2020 4:18 PM,10/6/2020 8:15 AM,Completed,,DOB - Buildings,Closed,200 N KOLIN AVE,60624.0,
SR20-05179617,,No Heat Complaint,20-03271872,9/30/2020 4:24 PM,10/8/2020 9:49 AM,Completed,,DOB - Buildings,Closed,1000 N PULASKI RD,60651.0,
SR20-05180125,,No Heat Complaint,20-03272136,9/30/2020 6:06 PM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,5800 N PULASKI RD,60659.0,
SR20-05180128,,No Heat Complaint,,9/30/2020 6:07 PM,10/5/2020 9:43 AM,Completed,,DOB - Buildings,,,60643.0,
SR20-05180420,,No Heat Complaint,,9/30/2020 7:35 PM,10/6/2020 1:26 PM,Completed,PLEASE CONTACT PRIOR FOR ACCESS TO UNIT,DOB - Buildings,,,60649.0,
SR20-05180442,,No Heat Complaint,20-03272301,9/30/2020 7:41 PM,10/6/2020 2:00 PM,Completed,,DOB - Buildings,Closed,5700 S CARPENTER ST,60621.0,
SR20-05181304,,No Heat Complaint,20-03272625,10/1/2020 4:07 AM,10/15/2020 9:19 AM,Completed,,DOB - Buildings,Closed,12000 S YALE AVE,60628.0,
SR20-05181584,,No Heat Complaint,20-03272756,10/1/2020 7:19 AM,10/13/2020 7:51 AM,Completed,,DOB - Buildings,Closed,8200 S LANGLEY AVE,60619.0,
SR20-05182300,,No Heat Complaint,20-03273224,10/1/2020 9:09 AM,10/15/2020 9:22 AM,Completed,PLEASE CALL FOR ENTRY,DOB - Buildings,Closed,6100 S RACINE AVE,60636.0,
SR20-05182655,,No Heat Complaint,20-03273450,10/1/2020 9:39 AM,10/15/2020 9:22 AM,Completed,NO HEAT IN 3 DAYS--CALL BEFORE COMING OUT---LANDLORD NOT RESPONDING,DOB - Buildings,Closed,7300 S PHILLIPS AVE,60649.0,
SR20-05183091,,No Heat Complaint,20-03273728,10/1/2020 10:21 AM,10/13/2020 12:23 PM,Completed,I have email conversation with landlord regarding heat.,DOB - Buildings,Closed,1000 W NORTH SHORE AVE,60626.0,
SR20-05184267,,No Heat Complaint,20-03274569,10/1/2020 12:28 PM,10/15/2020 9:22 AM,Completed,,DOB - Buildings,Closed,8000 S COTTAGE GROVE AVE,60619.0,
SR20-05184314,,No Heat Complaint,20-03274602,10/1/2020 12:33 PM,10/15/2020 9:22 AM,Completed,,DOB - Buildings,Closed,5500 S LAFLIN ST,60636.0,
SR20-05184539,,No Heat Complaint,20-03274759,10/1/2020 12:54 PM,10/2/2020 9:21 AM,Completed,,DOB - Buildings,Closed,500 W DIVERSEY PKWY,60614.0,
SR20-05184709,,No Heat Complaint,20-03274889,10/1/2020 1:05 PM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,5100 W SUNNYSIDE AVE,60630.0,
SR20-05184735,,No Heat Complaint,20-03274909,10/1/2020 1:08 PM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,8700 W SUMMERDALE AVE,60656.0,
SR20-05184870,,No Heat Complaint,20-03275016,10/1/2020 1:20 PM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,2900 W WILCOX ST,60612.0,
SR20-05185514,,No Heat Complaint,20-03275460,10/1/2020 2:10 PM,10/15/2020 9:22 AM,Completed,REAL REALTY MGMT CO. CONTROLS THE HEAT - 773 XXX-XXXX,DOB - Buildings,Closed,6800 S PAXTON AVE,60649.0,
SR20-05185812,,No Heat Complaint,,10/1/2020 2:39 PM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,,,60626.0,
SR20-05186160,,No Heat Complaint,20-03275898,10/1/2020 3:24 PM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,2000 N LA CROSSE AVE,60639.0,
SR20-05186392,,No Heat Complaint,,10/1/2020 3:59 PM,10/6/2020 8:15 AM,Completed,LANDLORD DISCONNECTED TENANTS LIGHTS,DOB - Buildings,,,60624.0,
SR20-05186533,,No Heat Complaint,20-03276158,10/1/2020 4:15 PM,10/11/2020 9:36 PM,Completed,SENIORS,DOB - Buildings,Closed,200 E ERIE ST,60611.0,
SR20-05187188,,No Heat Complaint,20-03276427,10/1/2020 5:57 PM,10/15/2020 9:22 AM,Completed,PLEASE RING THE BELL ON THE GATE INSTEAD OF THE BELL ON THE BUILDING TO GAIN ENTRY,DOB - Buildings,Closed,100 E 45TH ST,60653.0,
SR20-05187843,,No Heat Complaint,20-03276656,10/1/2020 8:42 PM,10/2/2020 9:22 AM,Completed,,DOB - Buildings,Closed,4800 N SPRINGFIELD AVE,60625.0,
SR20-05188461,,No Heat Complaint,20-03276843,10/2/2020 3:02 AM,10/2/2020 9:24 AM,Completed,,DOB - Buildings,Closed,1500 W PRATT BLVD,60626.0,
SR20-05188623,,No Heat Complaint,20-03276899,10/2/2020 6:31 AM,10/13/2020 8:37 AM,Completed,They keep telling me about a senor on the building. It must be broken because its 44 degrees outside and no heat is on. My apartment is cold.,DOB - Buildings,Closed,2300 W TOUHY AVE,60645.0,
SR20-05188922,,No Heat Complaint,20-03277044,10/2/2020 7:46 AM,10/8/2020 10:46 AM,Completed,senior building,DOB - Buildings,Closed,400 E 41ST ST,60653.0,
SR20-05188934,,No Heat Complaint,20-03277051,10/2/2020 7:48 AM,10/6/2020 2:56 PM,Completed,call before coming out,DOB - Buildings,Closed,7600 S SOUTH SHORE DR,60649.0,
SR20-05188950,,No Heat Complaint,20-03277061,10/2/2020 7:52 AM,10/13/2020 8:37 AM,Completed,Building management & maintenance consistently ignore tenant requests & I'm tired of it.,DOB - Buildings,Closed,5700 N KENMORE AVE,60660.0,
SR20-05188957,,No Heat Complaint,20-03277066,10/2/2020 7:54 AM,10/8/2020 11:26 AM,Completed,,DOB - Buildings,Closed,1000 E 41ST PL,60653.0,
SR20-05188981,,No Heat Complaint,20-03277081,10/2/2020 8:00 AM,10/6/2020 2:12 PM,Completed,,DOB - Buildings,Closed,2400 S RIDGEWAY AVE,60623.0,
SR20-05189050,,No Heat Complaint,20-03277133,10/2/2020 8:16 AM,10/13/2020 12:23 PM,Completed,no heat in 1 month---call before coming out ----no doorbells----knock on door ---landlord states she don't have money to fix nothing,DOB - Buildings,Closed,1600 N MENARD AVE,60639.0,
SR20-05189147,,No Heat Complaint,20-03277196,10/2/2020 8:31 AM,10/6/2020 12:16 PM,Completed,,DOB - Buildings,Closed,5500 N CAMPBELL AVE,60625.0,
SR20-05189470,,No Heat Complaint,20-03277360,10/2/2020 9:13 AM,10/8/2020 9:58 AM,Completed,,DOB - Buildings,Closed,6100 S EBERHART AVE,60637.0,
SR20-05189517,,No Heat Complaint,,10/2/2020 9:21 AM,10/8/2020 11:26 AM,Completed,,DOB - Buildings,,,60653.0,
SR20-05189621,,No Heat Complaint,20-03277438,10/2/2020 9:32 AM,10/8/2020 10:46 AM,Completed,,DOB - Buildings,Closed,4100 S LAKE PARK AVE,60653.0,
SR20-05189790,,No Heat Complaint,20-03277552,10/2/2020 9:50 AM,10/6/2020 10:41 AM,Completed,Landlord has failed to turn on radiators in the past (April) as well,DOB - Buildings,Closed,4300 N PAULINA ST,60613.0,
SR20-05190114,,No Heat Complaint,20-03277767,10/2/2020 10:22 AM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,100 N TROY ST,60612.0,
SR20-05190131,,No Heat Complaint,20-03277778,10/2/2020 10:24 AM,10/20/2020 7:35 AM,Completed,,DOB - Buildings,Closed,10700 S PULASKI RD,60655.0,
SR20-05190170,,No Heat Complaint,20-03277800,10/2/2020 10:28 AM,10/13/2020 8:37 AM,Completed,CALL BEFORE COMING,DOB - Buildings,Closed,1600 W SHERWIN AVE,60626.0,
SR20-05190504,,No Heat Complaint,20-03278046,10/2/2020 11:09 AM,10/13/2020 8:37 AM,Completed,,DOB - Buildings,Closed,1600 W FARWELL AVE,60626.0,
SR20-05190622,,No Heat Complaint,20-03278139,10/2/2020 11:23 AM,10/8/2020 3:08 PM,Completed,Please contact caller prior to coming out for entry,DOB - Buildings,Closed,5600 N GLENWOOD AVE,60660.0,
SR20-05190773,,No Heat Complaint,20-03278248,10/2/2020 11:39 AM,10/7/2020 3:27 PM,Completed,,DOB - Buildings,Closed,8300 S WABASH AVE,60619.0,
SR20-05190885,,No Heat Complaint,20-03278337,10/2/2020 11:51 AM,10/6/2020 9:35 AM,Completed,,DOB - Buildings,Closed,1700 N CLARK ST,60614.0,
SR20-05191114,,No Heat Complaint,20-03278492,10/2/2020 12:16 PM,10/5/2020 10:13 AM,Completed,,DOB - Buildings,Closed,600 W DIVERSEY PKWY,60657.0,
SR20-05191691,,No Heat Complaint,20-03278864,10/2/2020 1:06 PM,10/6/2020 11:35 AM,Completed,,DOB - Buildings,Closed,1500 N LAKE SHORE DR,60610.0,
SR20-05192173,,No Heat Complaint,20-03279274,10/2/2020 1:33 PM,10/5/2020 3:18 PM,Completed,,DOB - Buildings,Closed,6800 S ARTESIAN AVE,60629.0,
