Service Request Number,Service Request: Type Name,Work Order Number,Date/Time Opened,Date/Time Closed,Service Request Status,Service Request: Description,Department,Work Order Status,Street Block,Zip Code,_key,_address,_latitude,_longitude,_count
SR20-05102952,No Heat Complaint,20-03230963,9/19/2020 9:39 PM,9/21/2020 8:55 AM,Completed,,DOB - Buildings,Closed,1200 W Morse Ave,60626,1200 W Morse Ave-60626,"1200 W Morse Ave, Chicago, IL 60626, USA",42.0079783,-87.66169699999999,3
SR20-05103709,No Heat Complaint,20-03231174,9/20/2020 7:30 AM,9/22/2020 1:01 PM,Completed,,DOB - Buildings,Closed,3600 W Belmont Ave,60618,3600 W Belmont Ave-60618,"3600 W Belmont Ave, Chicago, IL 60618, USA",41.9427367,-87.7126761,3
SR20-05106154,No Heat Complaint,20-03231899,9/20/2020 5:04 PM,9/25/2020 3:05 PM,Completed,,DOB - Buildings,Closed,6400 N Northwest Hwy,60631,6400 N Northwest Hwy-60631,"6400 N Northwest Hwy, Chicago, IL 60631, USA",41.99691240000001,-87.80745329999999,3
SR20-05108167,No Heat Complaint,20-03232749,9/21/2020 8:03 AM,9/24/2020 10:16 AM,Completed,,DOB - Buildings,Closed,6400 N Sheridan Rd,60626,6400 N Sheridan Rd-60626,"6400 N Sheridan Rd, Chicago, IL 60626, USA",41.9984074,-87.66146669999999,10
SR20-05108568,No Heat Complaint,20-03233024,9/21/2020 8:43 AM,9/29/2020 11:33 AM,Completed,,DOB - Buildings,Closed,2900 N Pulaski Rd,60641,2900 N Pulaski Rd-60641,"2900 N Pulaski Rd, Chicago, IL 60641, USA",41.9336182,-87.7270105,2
SR20-05109526,No Heat Complaint,20-03233708,9/21/2020 9:49 AM,9/30/2020 12:15 PM,Completed,no working door bells,DOB - Buildings,Closed,4700 N Bernard St,60625,4700 N Bernard St-60625,"4700 N Bernard St, Chicago, IL 60625, USA",41.96658559999999,-87.7145238,2
SR20-05109579,No Heat Complaint,20-03233752,9/21/2020 9:52 AM,10/1/2020 9:26 AM,Completed,,DOB - Buildings,Closed,2900 W Fillmore St,60612,2900 W Fillmore St-60612,"2900 W Fillmore St, Chicago, IL 60612, USA",41.8684247,-87.6987655,1
SR20-05110681,No Heat Complaint,20-03234491,9/21/2020 11:16 AM,9/30/2020 12:08 PM,Completed,,DOB - Buildings,Closed,2300 W Touhy Ave,60645,2300 W Touhy Ave-60645,"2300 W Touhy Ave, Chicago, IL 60645, USA",42.0124474,-87.687741,4
SR20-05111509,No Heat Complaint,20-03235050,9/21/2020 12:38 PM,10/5/2020 11:31 AM,Completed,,DOB - Buildings,Closed,7800 S Cornell Ave,60649,7800 S Cornell Ave-60649,"7800 S Cornell Ave, Chicago, IL 60649, USA",41.75312599999999,-87.5847943,3
SR20-05112864,No Heat Complaint,20-03235945,9/21/2020 2:24 PM,9/22/2020 8:43 AM,Completed,,DOB - Buildings,Closed,4500 N Clarendon Ave,60640,4500 N Clarendon Ave-60640,"4500 N Clarendon Ave, Chicago, IL 60640, USA",41.9639959,-87.6503065,2
SR20-05115864,No Heat Complaint,20-03237529,9/21/2020 10:02 PM,9/28/2020 10:13 PM,Completed,,DOB - Buildings,Closed,1400 N Sedgwick St,60610,1400 N Sedgwick St-60610,"1400 N Sedgwick St, Chicago, IL 60610, USA",41.90771429999999,-87.6387467,1
SR20-05117753,No Heat Complaint,20-03238556,9/22/2020 9:30 AM,9/24/2020 9:58 AM,Completed,the picture was of my body temparature taken from the temple at 10:30 pm last night. proof enough the unit is cold,DOB - Buildings,Closed,600 W Melrose St,60657,600 W Melrose St-60657,"600 W Melrose St, Chicago, IL 60657, USA",41.9411306,-87.644431,1
SR20-05120601,No Heat Complaint,20-03240468,9/22/2020 1:27 PM,9/24/2020 4:32 PM,Completed,NO HEAT.  LANDLORD REFUSES TO TURN ON HEAT--CALL BEFORE COMING OUT  SO  SHE CAN LET YOU IN,DOB - Buildings,Closed,3200 W 62Nd Pl,60629,3200 W 62Nd Pl-60629,"3200 W 62nd Pl, Chicago, IL 60629, USA",41.7799034,-87.7031772,1
SR20-05124353,No Heat Complaint,20-03242533,9/23/2020 4:46 AM,9/24/2020 4:33 PM,Completed,"This Senior lives in senior residential unit in Cottage View Terrace; continuing to 'battle' with cold air, the heat not yet turned on, management
not giving it top priority,  Caller Does not want to be ill
PLEASE PLEASE CONTACT THE CALLER, MR. HOWARD CAMPBELL, BEFORE VISIT, THAT HE WILL DEFINITELY BE AVAILABLE TO RECEIVE THE
INPECTOR,,,,Mr. Campbell is not always home during day; running necessary erands, if not visiting his doctor(s)
However, AGAIN, he will make himself available after receiving a call from a Building inspector ahead of time; knowing the date if nothing else.",DOB - Buildings,Closed,4800 S Cottage Grove Ave,60615,4800 S Cottage Grove Ave-60615,"4800 S Cottage Grove Ave, Chicago, IL 60615, USA",41.807483,-87.606905,3
SR20-05147421,No Heat Complaint,20-03255414,9/25/2020 8:42 PM,10/6/2020 1:51 PM,Completed,,DOB - Buildings,Closed,1500 N Leamington Ave,60651,1500 N Leamington Ave-60651,"1500 N Leamington Ave, Chicago, IL 60651, USA",41.9078345,-87.7549787,1
SR20-05154002,No Heat Complaint,20-03257389,9/27/2020 10:10 AM,10/13/2020 10:18 AM,Completed,Please call prior with date and time for access,DOB - Buildings,Closed,7500 S Evans Ave,60619,7500 S Evans Ave-60619,"7500 S Evans Ave, Chicago, IL 60619, USA",41.758547,-87.60660910000001,2
SR20-05158600,No Heat Complaint,20-03258965,9/28/2020 7:57 AM,10/13/2020 12:42 PM,Completed,,DOB - Buildings,Closed,7600 S Phillips Ave,60649,7600 S Phillips Ave-60649,"7600 S Phillips Ave, Chicago, IL 60649, USA",41.7570571,-87.5654237,1
SR20-05158875,No Heat Complaint,20-03259149,9/28/2020 8:44 AM,10/6/2020 1:51 PM,Completed,,DOB - Buildings,Closed,4800 N Claremont Ave,60625,4800 N Claremont Ave-60625,"4800 N Claremont Ave, Chicago, IL 60625, USA",41.9686292,-87.6876798,3
SR20-05160669,No Heat Complaint,20-03260299,9/28/2020 11:22 AM,10/6/2020 1:51 PM,Completed,,DOB - Buildings,Closed,1000 N La Salle Dr,60610,1000 N La Salle Dr-60610,"1000 N LaSalle Dr, Chicago, IL 60610, USA",41.9013088,-87.6332138,1
SR20-05161007,No Heat Complaint,20-03260534,9/28/2020 11:51 AM,9/29/2020 10:21 AM,Completed,,DOB - Buildings,Closed,6100 N Francisco Ave,60659,6100 N Francisco Ave-60659,"6100 N Francisco Ave, Chicago, IL 60659, USA",41.9921856,-87.70188929999999,1
SR20-05165357,No Heat Complaint,20-03263098,9/28/2020 8:15 PM,10/6/2020 1:51 PM,Completed,,DOB - Buildings,Closed,5300 N Winthrop Ave,60640,5300 N Winthrop Ave-60640,"5300 N Winthrop Ave, Chicago, IL 60640, USA",41.9782836,-87.6581708,2
SR20-05165467,No Heat Complaint,20-03263140,9/28/2020 8:44 PM,10/6/2020 1:51 PM,Completed,THE CALLER STATED THAT THEY DO NOT KNOW WHO THEY OWNER IS OF THE BUILDING,DOB - Buildings,Closed,1200 N Lockwood Ave,60651,1200 N Lockwood Ave-60651,"1200 N Lockwood Ave, Chicago, IL 60651, USA",41.9022166,-87.75824,1
SR20-05165510,No Heat Complaint,20-03263154,9/28/2020 8:58 PM,10/6/2020 1:51 PM,Completed,THIS IS A SENIOR BUILDING,DOB - Buildings,Closed,1300 N Cleveland Ave,60610,1300 N Cleveland Ave-60610,"1300 N Cleveland Ave, Chicago, IL 60610, USA",41.9057869,-87.641125,13
SR20-05166091,No Heat Complaint,20-03263344,9/29/2020 4:08 AM,10/8/2020 4:27 PM,Completed,Caller does not have owner's phone# or address.  / Caller did not want to give his name.,DOB - Buildings,Closed,7800 S Champlain Ave,60619,7800 S Champlain Ave-60619,"7800 S Champlain Ave, Chicago, IL 60619, USA",41.752865,-87.609264,1
SR20-05166590,No Heat Complaint,20-03263650,9/29/2020 7:36 AM,10/1/2020 10:55 AM,Completed,,DOB - Buildings,Closed,4000 N Marmora Ave,60634,4000 N Marmora Ave-60634,"4000 N Marmora Ave, Chicago, IL 60634, USA",41.9530908,-87.7743291,1
SR20-05166659,No Heat Complaint,20-03263690,9/29/2020 7:47 AM,10/1/2020 10:29 AM,Completed,,DOB - Buildings,Closed,1600 W Farwell Ave,60626,1600 W Farwell Ave-60626,"1600 W Farwell Ave, Chicago, IL 60626, USA",42.0066105,-87.6699864,2
SR20-05166924,No Heat Complaint,20-03263893,9/29/2020 8:25 AM,10/2/2020 9:54 AM,Completed,,DOB - Buildings,Closed,600 W Cornelia Ave,60657,600 W Cornelia Ave-60657,"600 W Cornelia Ave, Chicago, IL 60657, USA",41.9460631,-87.6444404,1
SR20-05167223,No Heat Complaint,20-03264126,9/29/2020 8:58 AM,10/8/2020 9:43 AM,Completed,,DOB - Buildings,Closed,5400 W Division St,60651,5400 W Division St-60651,"5400 W Division St, Chicago, IL 60651, USA",41.90231139999999,-87.7613909,1
SR20-05167435,No Heat Complaint,20-03264278,9/29/2020 9:21 AM,10/13/2020 10:43 AM,Completed,LANDLORD REFUSES  TO TURN ON THE HEAT----CALL BEFORE COMING OUT,DOB - Buildings,Closed,7600 S Ingleside Ave,60619,7600 S Ingleside Ave-60619,"7600 S Ingleside Ave, Chicago, IL 60619, USA",41.75678670000001,-87.6016691,1
SR20-05168347,No Heat Complaint,20-03264918,9/29/2020 10:43 AM,10/6/2020 11:36 AM,Completed,THERE ARE  72 UNITS   WITH NO HEAT---IN SENIOR CITIZENS BUILDING,DOB - Buildings,Closed,2800 W Byron St,60618,2800 W Byron St-60618,"2800 W Byron St, Chicago, IL 60618, USA",41.9521472,-87.6982058,1
SR20-05168879,No Heat Complaint,20-03265276,9/29/2020 11:33 AM,10/6/2020 12:12 PM,Completed,"The temperature has been consistently lower than 66 during night time, and 68 during day time. I have reached out to building management, they brought an object thermometer to detect room temperature. No response from them.",DOB - Buildings,Closed,2800 S Dr Martin Luther King Jr Dr,60616,2800 S Dr Martin Luther King Jr Dr-60616,"2800 S Martin Luther King Dr, Chicago, IL 60616, USA",41.8430772,-87.61815480000001,2
SR20-05169003,No Heat Complaint,20-03265353,9/29/2020 11:47 AM,10/13/2020 10:28 AM,Completed,Have photo to prove no thermostat and radiators are all falling apart,DOB - Buildings,Closed,200 E 121St Pl,60628,200 E 121St Pl-60628,"200 E 121st Pl, Chicago, IL 60628, USA",41.67353629999999,-87.6176866,4
SR20-05169094,No Heat Complaint,20-03265414,9/29/2020 11:55 AM,10/5/2020 9:38 PM,Completed,THERE ARE 342 APTS  WITH NO HEAT,DOB - Buildings,Closed,100 W Maple St,60610,100 W Maple St-60610,"100 W Maple St, Chicago, IL 60610, USA",41.90183870000001,-87.631395,1
SR20-05169326,No Heat Complaint,20-03265573,9/29/2020 12:16 PM,10/6/2020 5:13 PM,Completed,,DOB - Buildings,Closed,600 E 84Th St,60619,600 E 84Th St-60619,"600 E 84th St, Chicago, IL 60619, USA",41.7421399,-87.6094888,1
SR20-05170604,No Heat Complaint,20-03266530,9/29/2020 1:52 PM,10/6/2020 1:26 PM,Completed,,DOB - Buildings,Closed,7600 S Colfax Ave,60649,7600 S Colfax Ave-60649,"7600 S Colfax Ave, Chicago, IL 60649, USA",41.75700399999999,-87.56182,1
SR20-05170962,No Heat Complaint,20-03266787,9/29/2020 2:23 PM,10/2/2020 10:12 AM,Completed,,DOB - Buildings,Closed,500 W Hawthorne Pl,60657,500 W Hawthorne Pl-60657,"500 W Hawthorne Pl, Chicago, IL 60657, USA",41.94482199999999,-87.64131189999999,1
SR20-05172719,No Heat Complaint,20-03267719,9/29/2020 5:49 PM,10/5/2020 9:38 PM,Completed,Not all the info fits in the boxes.I gave you contact info for the board president of our condo assoc. the building manager is Natalie Drapac at 312-664-8989 900mngr@900910.com,DOB - Buildings,Closed,900 N Lake Shore Dr,60611,900 N Lake Shore Dr-60611,"900 N Lake Shore Dr, Chicago, IL 60611, USA",41.8994933,-87.6195817,1
SR20-05172773,No Heat Complaint,20-03267735,9/29/2020 5:58 PM,10/2/2020 12:22 PM,Completed,,DOB - Buildings,Closed,800 W Cornelia Ave,60657,800 W Cornelia Ave-60657,"800 W Cornelia Ave, Chicago, IL 60657, USA",41.945626,-87.64964859999999,2
SR20-05174678,No Heat Complaint,20-03268541,9/30/2020 8:12 AM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,5000 N Springfield Ave,60625,5000 N Springfield Ave-60625,"5000 N Springfield Ave, Chicago, IL 60625, USA",41.9719108,-87.72569349999999,4
SR20-05174709,No Heat Complaint,20-03268565,9/30/2020 8:15 AM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,5300 W Pensacola Ave,60641,5300 W Pensacola Ave-60641,"5300 W Pensacola Ave, Chicago, IL 60641, USA",41.9598725,-87.7600155,8
SR20-05174808,No Heat Complaint,20-03268616,9/30/2020 8:28 AM,10/5/2020 12:37 PM,Completed,,DOB - Buildings,Closed,2000 W Schiller St,60622,2000 W Schiller St-60622,"2000 W Schiller St, Chicago, IL 60622, USA",41.9071411,-87.6773669,1
SR20-05175020,No Heat Complaint,20-03268753,9/30/2020 8:51 AM,10/1/2020 2:06 PM,Completed,,DOB - Buildings,Closed,7100 S Ridgeland Ave,60649,7100 S Ridgeland Ave-60649,"7100 S Ridgeland Ave, Chicago, IL 60649, USA",41.7659678,-87.5826117,8
SR20-05175135,No Heat Complaint,20-03268819,9/30/2020 9:01 AM,10/5/2020 1:24 PM,Completed,,DOB - Buildings,Closed,5100 W Wabansia Ave,60639,5100 W Wabansia Ave-60639,"5100 W Wabansia Ave, Chicago, IL 60639, USA",41.9113788,-87.7527155,2
SR20-05175747,No Heat Complaint,20-03269195,9/30/2020 9:54 AM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,4800 N Central Ave,60630,4800 N Central Ave-60630,"4800 N Central Ave, Chicago, IL 60630, USA",41.9678823,-87.7678196,1
SR20-05175960,No Heat Complaint,20-03269335,9/30/2020 10:14 AM,10/5/2020 11:41 AM,Completed,"He gets mad ever time,I'm afraid he will kick me out.
I have a section 8 I'll be 65 and my joints are bad there is a new baby on 2fl",DOB - Buildings,Closed,1600 E 85Th Pl,60617,1600 E 85Th Pl-60617,"1600 E 85th Pl, Chicago, IL 60617, USA",41.7396395,-87.58526169999999,2
SR20-05176264,No Heat Complaint,20-03269553,9/30/2020 10:36 AM,10/5/2020 9:39 PM,Completed,The building engineer was up in our unit today to say that there is nothing he can do for us.  The people on the South side of the building are warm and want the air and we are cold.  They have windows and can buy or have shades.,DOB - Buildings,Closed,0 W Ontario St,60654,0 W Ontario St-60654,"226 W Ontario St, Chicago, IL 60654, USA",41.8934302,-87.6353896,1
SR20-05176564,No Heat Complaint,20-03269801,9/30/2020 10:50 AM,10/5/2020 9:43 AM,Completed,,DOB - Buildings,Closed,10600 S Hale Ave,60643,10600 S Hale Ave-60643,"10600 S Hale Ave, Chicago, IL 60643, USA",41.701069,-87.6694574,3
SR20-05178670,No Heat Complaint,20-03271219,9/30/2020 2:28 PM,10/6/2020 2:00 PM,Completed,,DOB - Buildings,Closed,2900 S Michigan Ave,60616,2900 S Michigan Ave-60616,"2900 S Michigan Ave, Chicago, IL 60616, USA",41.841828,-87.62397,1
SR20-05178943,No Heat Complaint,20-03271426,9/30/2020 2:55 PM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,3700 W Leland Ave,60625,3700 W Leland Ave-60625,"3700 W Leland Ave, Chicago, IL 60625, USA",41.9665004,-87.7206401,4
SR20-05179564,No Heat Complaint,20-03271842,9/30/2020 4:18 PM,10/6/2020 8:15 AM,Completed,,DOB - Buildings,Closed,200 N Kolin Ave,60624,200 N Kolin Ave-60624,"200 N Kolin Ave, Chicago, IL 60624, USA",41.8835406,-87.7346142,3
SR20-05179617,No Heat Complaint,20-03271872,9/30/2020 4:24 PM,10/8/2020 9:49 AM,Completed,,DOB - Buildings,Closed,1000 N Pulaski Rd,60651,1000 N Pulaski Rd-60651,"1000 N Pulaski Rd, Chicago, IL 60651, USA",41.89918429999999,-87.72652629999999,2
SR20-05180125,No Heat Complaint,20-03272136,9/30/2020 6:06 PM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,5800 N Pulaski Rd,60659,5800 N Pulaski Rd-60659,"5800 N Pulaski Rd, Chicago, IL 60646, USA",41.9871839,-87.730864,2
SR20-05180442,No Heat Complaint,20-03272301,9/30/2020 7:41 PM,10/6/2020 2:00 PM,Completed,,DOB - Buildings,Closed,5700 S Carpenter St,60621,5700 S Carpenter St-60621,"5700 S Carpenter St, Chicago, IL 60621, USA",41.7905544,-87.6511015,1
SR20-05181304,No Heat Complaint,20-03272625,10/1/2020 4:07 AM,10/15/2020 9:19 AM,Completed,,DOB - Buildings,Closed,12000 S Yale Ave,60628,12000 S Yale Ave-60628,"12000 S Yale Ave, Chicago, IL 60628, USA",41.67596289999999,-87.6288762,1
SR20-05181584,No Heat Complaint,20-03272756,10/1/2020 7:19 AM,10/13/2020 7:51 AM,Completed,,DOB - Buildings,Closed,8200 S Langley Ave,60619,8200 S Langley Ave-60619,"8200 S Langley Ave, Chicago, IL 60619, USA",41.7457498,-87.607513,2
SR20-05182300,No Heat Complaint,20-03273224,10/1/2020 9:09 AM,10/15/2020 9:22 AM,Completed,PLEASE CALL FOR ENTRY,DOB - Buildings,Closed,6100 S Racine Ave,60636,6100 S Racine Ave-60636,"6100 S Racine Ave, Chicago, IL 60636, USA",41.78311799999999,-87.6549359,1
SR20-05182655,No Heat Complaint,20-03273450,10/1/2020 9:39 AM,10/15/2020 9:22 AM,Completed,NO HEAT IN 3 DAYS--CALL BEFORE COMING OUT---LANDLORD NOT RESPONDING,DOB - Buildings,Closed,7300 S Phillips Ave,60649,7300 S Phillips Ave-60649,"7300 S Phillips Ave, Chicago, IL 60649, USA",41.762471,-87.5651341,2
SR20-05183091,No Heat Complaint,20-03273728,10/1/2020 10:21 AM,10/13/2020 12:23 PM,Completed,I have email conversation with landlord regarding heat.,DOB - Buildings,Closed,1000 W North Shore Ave,60626,1000 W North Shore Ave-60626,"1000 W North Shore Ave, Chicago, IL 60626, USA",42.0037498,-87.6574495,1
SR20-05184267,No Heat Complaint,20-03274569,10/1/2020 12:28 PM,10/15/2020 9:22 AM,Completed,,DOB - Buildings,Closed,8000 S Cottage Grove Ave,60619,8000 S Cottage Grove Ave-60619,"8000 S Cottage Grove Ave, Chicago, IL 60619, USA",41.7493477,-87.605387,1
SR20-05184314,No Heat Complaint,20-03274602,10/1/2020 12:33 PM,10/15/2020 9:22 AM,Completed,,DOB - Buildings,Closed,5500 S Laflin St,60636,5500 S Laflin St-60636,"5500 S Laflin St, Chicago, IL 60636, USA",41.7936803,-87.6621517,1
SR20-05184539,No Heat Complaint,20-03274759,10/1/2020 12:54 PM,10/2/2020 9:21 AM,Completed,,DOB - Buildings,Closed,500 W Diversey Pkwy,60614,500 W Diversey Pkwy-60614,"500 W Diversey Pkwy, Chicago, IL 60614, USA",41.9331328,-87.6415793,1
SR20-05184709,No Heat Complaint,20-03274889,10/1/2020 1:05 PM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,5100 W Sunnyside Ave,60630,5100 W Sunnyside Ave-60630,"5100 W Sunnyside Ave, Chicago, IL 60630, USA",41.962687,-87.7551256,1
SR20-05184735,No Heat Complaint,20-03274909,10/1/2020 1:08 PM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,8700 W Summerdale Ave,60656,8700 W Summerdale Ave-60656,"8700 W Summerdale Ave, Chicago, IL 60656, USA",41.9762074,-87.8441933,1
SR20-05185514,No Heat Complaint,20-03275460,10/1/2020 2:10 PM,10/15/2020 9:22 AM,Completed,REAL REALTY MGMT CO. CONTROLS THE HEAT - 773 XXX-XXXX,DOB - Buildings,Closed,6800 S Paxton Ave,60649,6800 S Paxton Ave-60649,"6800 S Paxton Ave, Chicago, IL 60649, USA",41.77149600000001,-87.571895,1
SR20-05186160,No Heat Complaint,20-03275898,10/1/2020 3:24 PM,10/13/2020 12:23 PM,Completed,,DOB - Buildings,Closed,2000 N La Crosse Ave,60639,2000 N La Crosse Ave-60639,"2000 N La Crosse Ave, Chicago, IL 60639, USA",41.9169153,-87.7473448,1
SR20-05186533,No Heat Complaint,20-03276158,10/1/2020 4:15 PM,10/11/2020 9:36 PM,Completed,SENIORS,DOB - Buildings,Closed,200 E Erie St,60611,200 E Erie St-60611,"200 E Erie St, Chicago, IL 60611, USA",41.8943125,-87.6223727,1
SR20-05187188,No Heat Complaint,20-03276427,10/1/2020 5:57 PM,10/15/2020 9:22 AM,Completed,PLEASE RING THE BELL ON THE GATE INSTEAD OF THE BELL ON THE BUILDING TO GAIN ENTRY,DOB - Buildings,Closed,100 E 45Th St,60653,100 E 45Th St-60653,"100 E 45th St, Chicago, IL 60653, USA",41.81311059999999,-87.62293179999999,1
SR20-05187843,No Heat Complaint,20-03276656,10/1/2020 8:42 PM,10/2/2020 9:22 AM,Completed,,DOB - Buildings,Closed,4800 N Springfield Ave,60625,4800 N Springfield Ave-60625,"4800 N Springfield Ave, Chicago, IL 60625, USA",41.9685619,-87.7260063,2
SR20-05188461,No Heat Complaint,20-03276843,10/2/2020 3:02 AM,10/2/2020 9:24 AM,Completed,,DOB - Buildings,Closed,1500 W Pratt Blvd,60626,1500 W Pratt Blvd-60626,"1500 W Pratt Blvd, Chicago, IL 60626, USA",42.005579,-87.6680236,1
